ELECCION,nombres_candidato,apellido_paterno_candidato,apellido_materno_candidato,ESTADO,Observada
DIPUTADO,ALEXIS GERMAN,ORMEÑO,SILVA,APROBADA,SI
DIPUTADO,MANUEL ENRIQUE,MUÑOZ,PALACIOS,APROBADA,NO
DIPUTADO,LORENA,FRIES,MONLEON,APROBADA,SI
DIPUTADO,YOLANDA,PIZARRO,CARMONA,APROBADA,SI
DIPUTADO,JULIO,SALAS,GUTIERREZ,APROBADA,SI
DIPUTADO,EWALD ENRIQUE,MEYER,MONSALVE,APROBADA,SI
SENADOR,ABRAHAM GONZALO,LARRONDO,VEGA,APROBADA,SI
SENADOR,JUAN DEL KARANO,MARQUEZ,BORQUEZ,APROBADA,SI
DIPUTADO,RENE,ALINCO,BUSTOS,APROBADA,SI
DIPUTADO,VERONICA DEL PILAR,NUÑEZ,BARRA,APROBADA,SI
SENADOR,MONICA INES,QUIROZ,REYES,APROBADA,SI
DIPUTADO,HUGO ORLANDO,MORALES,SILVA,APROBADA,SI
DIPUTADO,JAIME RODOLFO,FICA,CARRASCO,APROBADA,SI
PRESIDENTE,YASNA,PROVOSTE,CAMPILLAY,APROBADA,SI
SENADOR,RODRIGO IGNACIO,SILVA,ALFARO,APROBADA,SI
DIPUTADO,TIRSO,GONZALEZ,ALQUINTA,APROBADA,SI
DIPUTADO,CHRISTEL,FELMER,VALDIVIELSO,APROBADA,SI
SENADOR,BEATRIZ,MATURANA,COSSIO,APROBADA,SI
DIPUTADO,LUIS EDUARDO,ARRIAZA,VILLALON,APROBADA,SI
DIPUTADO,SOLEDAD ESTELA,CUESTA,VALLEJOS,APROBADA,SI
DIPUTADO,FABRICIO,VENEGAS,OLIVARES,APROBADA,SI
SENADOR,JUAN JOSE CLAUDIO,ARCOS,SRDANOVIC,APROBADA,SI
DIPUTADO,GRACIELA AIDA,DIAZ,MERUBIA,APROBADA,SI
SENADOR,NINEN,GOMEZ,VILLEGAS,APROBADA,SI
SENADOR,GABRIEL,SILBER,ROMO,APROBADA,SI
DIPUTADO,CLARA,OLIVARES,ARAYA,APROBADA,SI
DIPUTADO,INGRID,SCHETTINO,PINTO,APROBADA,SI
DIPUTADO,ROSANNA MARIA,GARCIA,CHEVECICH,APROBADA,SI
DIPUTADO,CAROLINA,CUCUMIDES,CALDERON,APROBADA,SI
DIPUTADO,PAMELA,BONGAIN,ACEVEDO,APROBADA,SI
SENADOR,FABIOLA,MOYA,SANDOVAL,APROBADA,NO
DIPUTADO,MANUEL JESUS,OLIVA,PEREZ,APROBADA,SI
DIPUTADO,JORGE MANUEL,PALMA,ACUÑA,APROBADA,SI
SENADOR,JACQUELINE,VAN RYSSELBERGHE,HERRERA,APROBADA,SI
DIPUTADO,RODRIGO IVAN,CORDOVA,SEGUEL,APROBADA,NO
DIPUTADO,LUIS HERNAN,SOTO,POBLETE,APROBADA,SI
DIPUTADO,VANESSA,FERRER,RADOVICH,APROBADA,SI
SENADOR,LUIS MAURICIO,PROBOSTE,MUÑOZ,APROBADA,SI
DIPUTADO,ANDRES,MOLINA,MAGOFKE,APROBADA,SI
DIPUTADO,PAMELA,JILES,MORENO,APROBADA,SI
DIPUTADO,JAIME,COLOMA,TIRAPEGUI,APROBADA,SI
DIPUTADO,MARCELA PAT,GONZALEZ,PAREDES,APROBADA,SI
DIPUTADO,DINO PAOLO,CAVALETTO,FLORES,APROBADA,SI
DIPUTADO,GABRIELA INES,GALLARDO,FUENTES,APROBADA,SI
DIPUTADO,MONICA,SANCHEZ,ACEITUNO,APROBADA,SI
SENADOR,CARLOS GERALDO,ITURRIETA,CLOBARES,APROBADA,SI
DIPUTADO,EDUARDO ALFONSO,BARRA,JOFRE,APROBADA,SI
DIPUTADO,MARCO ANTONIO,BRAUCHY,CASTILLO,APROBADA,SI
DIPUTADO,DENIS RENZO ARIEL,BARRIA,GONZALEZ,APROBADA,NO
DIPUTADO,VERONICA,MOLINA,RETAMAL,APROBADA,SI
DIPUTADO,MARCELO ANDRES,ZARA,PIZARRO,APROBADA,SI
DIPUTADO,CESAR AUGUSTO,VARGAS,ZURITA,APROBADA,SI
DIPUTADO,JAIME,MULET,MARTINEZ,APROBADA,SI
DIPUTADO,LUIS,SILVA,IRARRAZAVAL,APROBADA,SI
DIPUTADO,ROSSANA,DIAZ,CORRO,APROBADA,SI
DIPUTADO,FERNANDO,BORQUEZ,MONTECINOS,APROBADA,NO
DIPUTADO,LUIS ALBERTO,ACUÑA,CASTILLO,APROBADA,SI
SENADOR,ALFONSO,DE URRESTI,LONGTON,APROBADA,SI
SENADOR,SEBASTIAN,KEITEL,BIANCHI,APROBADA,SI
DIPUTADO,SEBASTIAN,MILOS,MONTES,APROBADA,SI
DIPUTADO,JUAN EDUARDO,BAEZA,CARRASCO,APROBADA,SI
DIPUTADO,JUAN FRANCISCO,FRITIS,CARRIZO,APROBADA,SI
